                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0896,                 3.2361,                  3.911,                 1.3397,                0.88179,                   0.35,                0.52876,                0.38594,                 0.9544,                0.36538,                0.51581,                0.31057,                 1.6487,                 2.4593,                 1.6246,                 1.2583,                      0,                      0,                      0
                      2,                 1.4336,                 2.8386,                 3.1178,                 1.4974,                0.87825,                   0.35,                 0.5256,                 0.3851,                0.95356,                0.36581,                0.51432,                0.31457,                 1.6561,                 2.4739,                 1.6582,                 1.2529,              7.973e-07,              7.973e-07,              7.973e-07
                      3,                0.87492,                 2.8196,                 2.7924,                  1.227,                0.87704,                   0.35,                0.53828,                0.39279,                 0.9537,                0.36589,                0.53004,                0.33014,                 1.6617,                 2.4663,                 1.6742,                 1.2565,              8.092e-07,              8.092e-07,              8.092e-07
